1787904733,0, 0, 22.28;1, 0, 15.85;2, 0, 18.29;3, 0, 88.63;
1787904735,0, 0, 69.68;1, 0, 65.43;2, 0, 61.47;3, 0, 88.45;
1787904738,0, 0, 71.16;1, 0, 67.02;2, 0, 62.15;3, 3, 89.83;
1787904740,0, 8, 72.13;1, 8, 68.11;2, 8, 63.98;3, 0, 88.18;
1787904742,0, 0, 72.18;1, 0, 67.43;2, 0, 63.30;3, 0, 87.99;
1787904744,0, 0, 73.48;1, 0, 66.01;2, 0, 62.79;3, 0, 88.07;
1787904746,0, 0, 76.88;1, 0, 65.64;2, 0, 62.94;3, 0, 88.00;
1787904748,0, 0, 80.19;1, 3, 66.16;2, 0, 62.98;3, 0, 87.98;
1787904751,0, 0, 82.29;1, 3, 66.36;2, 12, 62.93;3, 0, 88.95;
1787904753,0, 28, 87.62;1, 11, 68.31;2, 10, 64.72;3, 0, 88.23;
1787904755,0, 76, 105.47;1, 0, 66.31;2, 0, 62.93;3, 0, 125.95;
1787904757,0, 0, 101.19;1, 0, 65.75;2, 0, 62.70;3, 0, 102.08;
1787904759,0, 0, 87.22;1, 0, 66.17;2, 0, 62.53;3, 0, 88.89;
1787904761,0, 0, 87.89;1, 0, 65.75;2, 0, 62.62;3, 0, 88.30;
1787904763,0, 0, 87.19;1, 0, 66.29;2, 0, 62.53;3, 0, 104.03;
1787904766,0, 0, 87.83;1, 0, 66.41;2, 0, 62.44;3, 100, 245.71;
1787904768,0, 0, 87.26;1, 0, 66.24;2, 0, 62.14;3, 78, 537.62;
1787904770,0, 0, 87.69;1, 0, 66.56;2, 0, 61.99;3, 87, 545.32;
1787904772,0, 1, 87.32;1, 0, 27.18;2, 0, 27.06;3, 78, 541.34;
1787904774,0, 0, 193.13;1, 0, 188.84;2, 20, 445.96;3, 85, 541.62;
1787904776,0, 100, 272.89;1, 100, 302.95;2, 100, 516.34;3, 83, 535.58;
1787904778,0, 100, 319.59;1, 100, 413.01;2, 100, 559.03;3, 87, 540.88;
1787904780,0, 100, 548.47;1, 100, 499.65;2, 100, 471.03;3, 87, 505.82;
1787904783,0, 100, 434.37;1, 100, 568.31;2, 100, 484.51;3, 88, 545.75;
1787904785,0, 100, 556.22;1, 100, 402.93;2, 100, 560.14;3, 87, 534.82;
1787904787,0, 8, 460.39;1, 8, 314.27;2, 4, 353.53;3, 62, 516.79;
1787904789,0, 0, 458.45;1, 100, 565.67;2, 97, 548.52;3, 87, 532.88;
1787904791,0, 100, 398.51;1, 100, 486.92;2, 100, 560.00;3, 87, 500.37;
1787904793,0, 100, 497.56;1, 100, 566.04;2, 100, 521.14;3, 82, 516.27;
1787904795,0, 85, 571.21;1, 100, 574.62;2, 100, 410.81;3, 86, 537.05;
1787904798,0, 100, 558.07;1, 100, 560.41;2, 97, 524.39;3, 83, 517.20;
1787904800,0, 100, 397.38;1, 100, 565.22;2, 100, 555.25;3, 80, 549.48;
1787904802,0, 100, 535.31;1, 100, 576.15;2, 100, 571.29;3, 84, 541.06;
1787904804,0, 100, 576.10;1, 100, 489.48;2, 100, 352.33;3, 84, 524.78;
1787904806,0, 100, 227.25;1, 100, 241.90;2, 100, 251.15;3, 80, 509.77;
1787904808,0, 0, 156.41;1, 1, 224.57;2, 3, 224.72;3, 82, 470.68;
1787904811,0, 100, 264.81;1, 100, 363.63;2, 100, 580.52;3, 86, 520.28;
1787904813,0, 100, 480.94;1, 100, 522.23;2, 100, 425.40;3, 76, 543.65;
1787904815,0, 100, 575.11;1, 100, 574.98;2, 66, 476.04;3, 82, 529.12;
1787904817,0, 100, 491.59;1, 100, 406.02;2, 76, 382.93;3, 84, 525.77;
1787904819,0, 100, 428.15;1, 100, 570.31;2, 100, 409.88;3, 79, 521.86;
1787904821,0, 100, 543.74;1, 100, 484.92;2, 100, 441.42;3, 85, 530.81;
1787904823,0, 100, 575.03;1, 27, 452.47;2, 0, 404.60;3, 84, 525.51;
